,id,gene_short_name,num_cells_expressed,use_for_ordering
ENSMUSG00000035878,ENSMUSG00000035878,Hykk,1942,FALSE
ENSMUSG00000044820,ENSMUSG00000044820,AY074887,665,FALSE
ENSMUSG00000032301,ENSMUSG00000032301,Psma4,32563,FALSE
ENSMUSG00000035594,ENSMUSG00000035594,Chrna5,287,FALSE
ENSMUSG00000032303,ENSMUSG00000032303,Chrna3,187,FALSE
ENSMUSG00000035200,ENSMUSG00000035200,Chrnb4,375,FALSE
ENSMUSG00000032307,ENSMUSG00000032307,Ube2q2,13383,FALSE
ENSMUSG00000032309,ENSMUSG00000032309,Fbxo22,20550,FALSE
ENSMUSG00000032311,ENSMUSG00000032311,Nrg4,2954,FALSE
ENSMUSG00000032313,ENSMUSG00000032313,Tmem266,2888,FALSE
ENSMUSG00000032314,ENSMUSG00000032314,Etfa,27171,FALSE
ENSMUSG00000032318,ENSMUSG00000032318,Isl2,1038,FALSE
ENSMUSG00000090270,ENSMUSG00000090270,Gm17226,44,FALSE
ENSMUSG00000034007,ENSMUSG00000034007,Scaper,7769,FALSE
ENSMUSG00000050702,ENSMUSG00000050702,4930563M21Rik,15,FALSE
ENSMUSG00000032320,ENSMUSG00000032320,Rcn2,22799,FALSE
ENSMUSG00000032322,ENSMUSG00000032322,Pstpip1,3570,FALSE
ENSMUSG00000032324,ENSMUSG00000032324,Tspan3,26721,FALSE
ENSMUSG00000074305,ENSMUSG00000074305,Peak1,11404,FALSE
ENSMUSG00000097111,ENSMUSG00000097111,Peak1os,18,FALSE
ENSMUSG00000032329,ENSMUSG00000032329,Hmg20a,8492,FALSE
ENSMUSG00000097870,ENSMUSG00000097870,Gm26868,139,FALSE
ENSMUSG00000049556,ENSMUSG00000049556,Lingo1,1271,FALSE
ENSMUSG00000045620,ENSMUSG00000045620,Odf3l1,18,FALSE
ENSMUSG00000032911,ENSMUSG00000032911,Cspg4,1090,FALSE
ENSMUSG00000032733,ENSMUSG00000032733,Snx33,5988,FALSE
ENSMUSG00000032288,ENSMUSG00000032288,Imp3,29774,FALSE
ENSMUSG00000055334,ENSMUSG00000055334,Snupn,6914,FALSE
ENSMUSG00000032290,ENSMUSG00000032290,Ptpn9,8992,FALSE
ENSMUSG00000042557,ENSMUSG00000042557,Sin3a,14146,FALSE
ENSMUSG00000097334,ENSMUSG00000097334,2700012I20Rik,378,FALSE
ENSMUSG00000086728,ENSMUSG00000086728,Man2c1os,1366,FALSE
ENSMUSG00000032295,ENSMUSG00000032295,Man2c1,9181,FALSE
ENSMUSG00000032298,ENSMUSG00000032298,Neil1,2843,FALSE
ENSMUSG00000032299,ENSMUSG00000032299,Commd4,28277,FALSE
ENSMUSG00000100282,ENSMUSG00000100282,1700041C23Rik,0,FALSE
ENSMUSG00000070298,ENSMUSG00000070298,Trcg1,25,FALSE
ENSMUSG00000032300,ENSMUSG00000032300,1700017B05Rik,14577,FALSE
ENSMUSG00000063849,ENSMUSG00000063849,Ppcdc,8538,FALSE
ENSMUSG00000040722,ENSMUSG00000040722,Scamp5,11673,FALSE
ENSMUSG00000062309,ENSMUSG00000062309,Rpp25,17237,FALSE
ENSMUSG00000000088,ENSMUSG00000000088,Cox5a,35891,FALSE
ENSMUSG00000097445,ENSMUSG00000097445,Gm26631,2024,FALSE
ENSMUSG00000032305,ENSMUSG00000032305,Fam219b,7876,FALSE
ENSMUSG00000032306,ENSMUSG00000032306,Mpi,8449,FALSE
ENSMUSG00000040188,ENSMUSG00000040188,Scamp2,15598,FALSE
ENSMUSG00000032308,ENSMUSG00000032308,Ulk3,2737,FALSE
ENSMUSG00000039714,ENSMUSG00000039714,Cplx3,12,FALSE
ENSMUSG00000056271,ENSMUSG00000056271,Lman1l,42,FALSE
ENSMUSG00000032312,ENSMUSG00000032312,Csk,15741,FALSE
ENSMUSG00000032310,ENSMUSG00000032310,Cyp1a2,34,FALSE
ENSMUSG00000032315,ENSMUSG00000032315,Cyp1a1,763,FALSE
ENSMUSG00000038957,ENSMUSG00000038957,Edc3,9872,FALSE
ENSMUSG00000032316,ENSMUSG00000032316,Clk3,16315,FALSE
ENSMUSG00000091908,ENSMUSG00000091908,Gm17231,53,FALSE
ENSMUSG00000004661,ENSMUSG00000004661,Arid3b,8393,FALSE
ENSMUSG00000055720,ENSMUSG00000055720,Ubl7,16062,FALSE
ENSMUSG00000038264,ENSMUSG00000038264,Sema7a,1407,FALSE
ENSMUSG00000097604,ENSMUSG00000097604,Gm17322,192,FALSE
ENSMUSG00000032323,ENSMUSG00000032323,Cyp11a1,381,FALSE
ENSMUSG00000037716,ENSMUSG00000037716,Ccdc33,997,FALSE
ENSMUSG00000086624,ENSMUSG00000086624,Gm16130,0,FALSE
ENSMUSG00000032327,ENSMUSG00000032327,Stra6,18574,TRUE
ENSMUSG00000085753,ENSMUSG00000085753,Gm16131,8,FALSE
ENSMUSG00000037206,ENSMUSG00000037206,Islr,2167,FALSE
ENSMUSG00000051243,ENSMUSG00000051243,Islr2,5867,FALSE
ENSMUSG00000036986,ENSMUSG00000036986,Pml,13552,FALSE
ENSMUSG00000032333,ENSMUSG00000032333,Stoml1,6561,FALSE
ENSMUSG00000032334,ENSMUSG00000032334,Loxl1,6780,TRUE
ENSMUSG00000036244,ENSMUSG00000036244,Tbc1d21,2,FALSE
ENSMUSG00000100487,ENSMUSG00000100487,1700072B07Rik,0,FALSE
ENSMUSG00000097651,ENSMUSG00000097651,4930461G14Rik,3679,FALSE
ENSMUSG00000066607,ENSMUSG00000066607,6030419C18Rik,3058,FALSE
ENSMUSG00000035914,ENSMUSG00000035914,Cd276,5012,FALSE
ENSMUSG00000032336,ENSMUSG00000032336,Nptn,20302,FALSE
ENSMUSG00000074269,ENSMUSG00000074269,Rec114,5809,TRUE
